method,rows,min_sec,max_sec,mean_sec,median_sec,stdev_sec,rows_per_sec
pyodbc_fast_executemany,1000000,,,,,,
sa_to_sql_default,1000000,,,,,,
sa_to_sql_fast_executemany,1000000,34.524420500034466,52.480208299995866,41.334358400005534,36.99844639998628,9.731530122917151,27028.161917641246
sa_core_executemany,1000000,41.32513579999795,42.19457330001751,41.7641551666699,41.77275639999425,0.43478256349707667,23939.04750801021
bulk_insert_tsql,1000000,15.283134699973743,15.668915199988987,15.45796403331527,15.421842199983075,0.1954104364676103,64843.096371528
tvp_pyodbc,1000000,3.5409614999662153,4.333921299956273,3.9382148333049067,3.939761699992232,0.39648216315173557,253822.45834867924
bcp_cli,1000000,20.845514900051057,24.3293656000169,22.424178833355352,22.097655999998096,1.7647285330726816,45253.66853389727
mssql_python_executemany,1000000,78.02785339998081,92.79585140000563,83.01177493333428,78.21162000001641,8.473756945421329,12785.823896753323
bcpandas_bcp,1000000,41.178335700009484,44.231102199992165,42.52835283333358,42.17562059999909,1.5566505218509963,23710.38020955693
arrowsqlbcpy,1000000,23.792773200024385,25.71344759996282,24.533921933325473,24.095544999989215,1.0326559395101993,41501.447674267074
